key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
4_31F0_000F_01A,4,0x31F0,15,0,26,26,350,734,1,0,1,2922,0xE0C6,0x019B,0x000F,0x31F0,0xF48A,0x0000,0x0000,0x3384
4_31F0_000F_01B,4,0x31F0,15,0,27,27,365,765,1,0,1,2923,0xE0C5,0x019A,0x000F,0x31F0,0xF48A,0x0000,0x0000,0x3393
4_31F0_000F_01C,4,0x31F0,15,0,28,28,380,796,1,0,1,2924,0xE0C4,0x019A,0x000F,0x31F0,0xF48A,0x0000,0x0000,0x33A2
4_31F0_000F_01D,4,0x31F0,15,0,29,29,395,827,1,0,1,2925,0xE0C3,0x019A,0x000F,0x31F0,0xF48A,0x0000,0x0000,0x33B1
4_31F0_000F_01E,4,0x31F0,15,0,30,30,410,858,1,0,1,2926,0xE0C2,0x019A,0x000F,0x31F0,0xF48A,0x0000,0x0000,0x33C0
4_3DCD_0011_025,4,0x3DCD,17,0,37,37,560,1165,0,1,1,3062,0xC6A1,0x0186,0x0011,0x3DCD,0xF4CA,0x6A52,0x0000,0x41A5
4_3DCD_0011_029,4,0x3DCD,17,0,41,41,628,1305,0,1,1,3063,0xC49B,0x0184,0x0011,0x3DCD,0xF4CA,0x79CE,0x0000,0x41B5
4_3DCD_0011_02C,4,0x3DCD,17,0,44,44,679,1410,0,1,1,3064,0xC296,0x0182,0x0011,0x3DCD,0xF4CA,0x614A,0x0000,0x41A5
4_3DCD_0011_031,4,0x3DCD,17,0,49,49,762,1581,0,1,1,3065,0xC08F,0x0180,0x0011,0x3DCD,0xF4CA,0x18C6,0x0000,0x41B5
4_3DCD_0011_037,4,0x3DCD,17,0,55,55,858,1779,0,1,1,3066,0xBF88,0x017E,0x0011,0x3DCD,0xF4CA,0x3842,0x0000,0x41B5
4_41AA_000E_01C,4,0x41AA,14,0,28,28,326,688,0,1,1,3061,0x886C,0x017D,0x000E,0x41AA,0xF4CA,0x439C,0x0000,0x4485
4_41AA_000E_01E,4,0x41AA,14,0,30,30,352,742,0,1,1,3062,0x8B6D,0x0177,0x000E,0x41AA,0xF4CA,0x4318,0x0000,0x4485
4_41AA_000E_021,4,0x41AA,14,0,33,33,392,825,0,1,1,3063,0x8E6D,0x0172,0x000E,0x41AA,0xF4CA,0x5294,0x0000,0x4493
4_41AA_000E_023,4,0x41AA,14,0,35,35,419,881,0,1,1,3064,0x916E,0x016D,0x000E,0x41AA,0xF4CA,0x4210,0x0000,0x4485
4_41AA_000E_027,4,0x41AA,14,0,39,39,471,989,0,1,1,3065,0x956E,0x0169,0x000E,0x41AA,0xF4CA,0x518C,0x0000,0x4493
4_41AA_000E_02B,4,0x41AA,14,0,43,43,527,1105,0,1,1,3066,0x996E,0x0164,0x000E,0x41AA,0xF4CA,0x6108,0x0000,0x4493
4_41AA_000E_02F,4,0x41AA,14,0,47,47,572,1199,0,1,1,3067,0x9D6E,0x015F,0x000E,0x41AA,0xF4CA,0x7084,0x0000,0x4485
4_41AA_000E_035,4,0x41AA,14,0,53,53,600,1261,1,0,1,3068,0xA26D,0x015B,0x000E,0x41AA,0xF4CA,0x0000,0x0000,0x4493
4_41B7_010E_01C,4,0x41B7,14,1,28,28,339,714,0,1,1,3061,0x886C,0x01A3,0x010E,0x41B7,0xF4CA,0x439C,0x0000,0x4484
4_41B7_010E_01E,4,0x41B7,14,1,30,30,365,768,0,1,1,3062,0x8B6D,0x01A3,0x010E,0x41B7,0xF4CA,0x4318,0x0000,0x4484
4_41B7_010E_021,4,0x41B7,14,1,33,33,406,853,0,1,1,3063,0x8E6D,0x01A4,0x010E,0x41B7,0xF4CA,0x5294,0x0000,0x4492
4_41B7_010E_023,4,0x41B7,14,1,35,35,432,907,0,1,1,3064,0x916E,0x01A5,0x010E,0x41B7,0xF4CA,0x4210,0x0000,0x4484
4_41B7_010E_027,4,0x41B7,14,1,39,39,480,1007,0,1,1,3065,0x956E,0x01A7,0x010E,0x41B7,0xF4CA,0x518C,0x0000,0x4492
