key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
0_0A78_010A_028,0,0x0A78,10,1,40,40,357,762,1,0,32,4651,0xB890,0x0185,0x010A,0x0A78,0xF082,0x0000,0x0000,0x0BFF
0_384F_000D_020,0,0x384F,13,0,32,32,297,634,1,0,32,3404,0xB898,0x00B7,0x000D,0x384F,0xF082,0x0000,0x0000,0x39FA
3_0000_0004_078,3,0x0000,4,0,120,120,325,778,1,0,32,722,0x7800,0x0111,0x0004,0x0000,0xF384,0x0000,0x0000,0x01E2
3_0003_0104_078,3,0x0003,4,1,120,120,364,856,1,0,32,718,0x7800,0x0111,0x0104,0x0003,0xF384,0x0000,0x0000,0x01E1
3_01E4_00FC_078,3,0x01E4,-4,0,120,120,325,778,1,0,32,720,0x7800,0x0111,0x00FC,0x01E4,0xF384,0x0000,0x0000,0x0006
3_01E7_01FC_078,3,0x01E7,-4,1,120,120,364,856,1,0,31,717,0x7800,0x0111,0x01FC,0x01E7,0xF384,0x0000,0x0000,0x0005
0_15C8_010D_03F,0,0x15C8,13,1,63,63,687,1445,1,0,30,1163,0xB879,0x00F7,0x010D,0x15C8,0xF082,0x0000,0x0000,0x18F1
0_18FB_0108_03F,0,0x18FB,8,1,63,63,430,931,1,0,30,1165,0xB879,0x0105,0x0108,0x18FB,0xF082,0x0000,0x0000,0x1AED
3_6A70_0009_01C,3,0x6A70,9,0,28,28,200,436,1,0,30,1088,0x886C,0x0133,0x0009,0x6A70,0xF38B,0x0000,0x0000,0x6B70
3_6B6D_0008_01A,3,0x6B6D,8,0,26,26,161,356,1,0,30,1093,0x8369,0x0134,0x0008,0x6B6D,0xF38B,0x0000,0x0000,0x6C41
3_2C3D_0018_028,3,0x2C3D,24,0,40,40,711,1470,1,0,28,3186,0x8B63,0x01FE,0x0018,0x2C3D,0xF391,0x0000,0x0000,0x3001
3_A36E_0112_045,3,0xA36E,18,1,69,69,886,1849,1,0,28,5119,0xB873,0x00E3,0x0112,0xA36E,0xF392,0x0000,0x0000,0xA83D
3_1D82_0006_01A,3,0x1D82,6,0,26,26,156,346,0,27,27,847,0x7F65,0x00F6,0x0006,0x1D82,0xF3C0,0x58E7,0x0000,0x1E3F
